shapeid,x,y,address
0,-73.8623329049,40.6783255848,105-26 Ruby Street
1,-73.8622852148,40.6781585021,105-30 Ruby Street
2,-73.8403524347,40.7170873061,160 Burns Street
3,-73.8794246412,40.6817230519,3133 Arlington Avenue
4,-73.8039683004,40.6675158932,134-34 135th Avenue
5,-73.7525557419,40.7724015797,9 Melrose Lane
6,-73.9162338178,40.7769883483,165 23rd Avenue
7,-73.8328475235,40.7095616154,33 Beverly Road
8,-73.7461178357,40.7759434368,361 Arleigh Road
9,-73.7520307832,40.7779845195,119 Grosvenor Street
10,-73.7295364457,40.6629917827,250-20 Hook Creek Boulevard
11,-73.8290804195,40.7108843987,106 82nd Drive
12,-73.740906163,40.753437868,63-77 Douglaston Parkway
13,-73.7399646599,40.7535125371,63-63 Douglaston Parkway
14,-73.8883841551,40.566457914,86 Church Avenue
15,-73.9165009065,40.7766894706,168 23rd Avenue
16,-73.8798790097,40.7047849809,2910 Central Avenue
17,-73.7509786898,40.6704057599,223-11 Carson Street
18,-73.7300612791,40.6648551671,248-4 Hook Creek Boulevard
19,-73.8299712455,40.7103061037,118 82nd Drive
20,-73.8312027018,40.7119461458,119 81st Avenue
21,-73.8294875983,40.7115910615,104 82nd Road
22,-73.8296375352,40.7105044978,114 82nd Drive
23,-73.7296211765,40.6634179505,250-2 Hook Creek Boulevard
24,-73.8316272785,40.7107856585,125 82nd Avenue
25,-73.8338486749,40.7088942444,118 Audley Street
26,-73.8296574706,40.7115026614,106 82nd Road
27,-73.8305427624,40.7123644592,111 81st Avenue
28,-73.748276934,40.6611353155,231-13 145th Avenue
29,-73.8411697218,40.6949994528,177 88th Avenue
30,-73.8428290627,40.7152070135,103 Ascan Avenue
31,-73.8410113402,40.7144479592,59 Seasongood Road
32,-73.8484533647,40.7187501472,82 Dartmouth Street
33,-73.8395523656,40.7140516571,139 Greenway North
34,-73.7282809446,40.6569270256,147-16 Francis Lewis Boulevard
35,-73.8330948418,40.7083464883,119-24 83rd Avenue
36,-73.7531203638,40.7782273928,17 Grosvenor Street
37,-73.8116829737,40.7593157812,163 Beech Avenue
38,-73.8358473012,40.7134992009,382 Burns Street
39,-73.7465376635,40.7776460753,378 Beverly Road
40,-73.7478621871,40.7700005886,23 40th Avenue
41,-73.8394876985,40.7146231748,114 Greenway North
42,-73.8272329821,40.79582543,114 Malba Drive
43,-73.8444949591,40.7169223148,77 Greenway Terrace
44,-73.8377446918,40.7147883208,291 Burns Street
45,-73.7488727311,40.7768992323,303 Manor Road
46,-73.7503224708,40.773194752,123 Forest Road
47,-73.8394619086,40.7165228321,196 Burns Street
48,-73.7518636674,40.7756760899,121 Hollywood Avenue
49,-73.8418027219,40.7168443176,39 Ascan Avenue
50,-73.7534960947,40.776767721,19 Westmoreland Place
51,-73.8366069227,40.7142463495,338 Burns Street
52,-73.8426224024,40.7154789977,85 Ascan Avenue
53,-73.8427080522,40.7123620967,45 Ingram Street
54,-73.9156656287,40.7761660709,190 23rd Avenue
55,-73.8406862891,40.7141363951,81 75th Road
56,-73.7497124387,40.7708078048,6 Cherry Street
57,-73.8434362674,40.7142393686,149 Ascan Avenue
58,-73.7502328663,40.77424327,200 Park Lane
59,-73.812489492,40.7593691208,132 Beech Avenue
60,-73.8431273813,40.7138573592,160 Ascan Avenue
61,-73.8367111833,40.7138233473,712 Burns Street
62,-73.7996874857,40.5920968087,3-56 Beach Channel Drive
63,-73.845703994,40.7182371577,30 71st Avenue
64,-73.8471165821,40.7160662521,114 71st Avenue
65,-73.751930523,40.7760832691,120 Manor Road
66,-73.7475160967,40.7756980688,321 Arleigh Road
67,-73.7921004891,40.752870631,188-6 Hollis Court Boulevard
68,-73.9049832386,40.7021373552,5723 Putnam Avenue
69,-73.7584938536,40.5962303369,25-1 Highland Court
70,-73.8360467932,40.712817274,60 Deepdene Road
71,-73.8769628841,40.7054828199,2994 Central Avenue
72,-73.7398727348,40.7537586798,62-47 Douglaston Parkway
73,-73.8909788349,40.7024181299,2595 Central Avenue
74,-73.9164484043,40.7766524352,170 23rd Avenue
75,-73.8471605479,40.7175290696,50 Exeter Street
76,-73.84315514,40.7099677759,267 75th Road
77,-73.8408977347,40.7173505506,150 Burns Street
78,-73.8424984361,40.7149127478,114 Ascan Avenue
79,-73.847803546,40.7178319026,100 Tennis Place
80,-73.7469658714,40.7705455878,88 240th Street
81,-73.7975750515,40.7099695459,14 Clinton Terrace
82,-73.8441737463,40.7189358886,25 Burns Street
83,-73.8442561228,40.7142917654,84 Greenway South
84,-73.8404089622,40.7124869642,65 Shorthill Road
85,-73.8916555789,40.5674707359,242 Roxbury Avenue
86,-73.746560244,40.7678961457,8 240th Street
87,-73.8430502391,40.7102291685,259 75th Road
88,-73.8444524218,40.7174057839,53 Greenway Terrace
89,-73.7800956388,40.7173687019,185-2 Chelsea Street
90,-73.751303878,40.7779563542,203 Grosvenor Street
91,-73.8431852377,40.7129660972,20 Ingram Street
92,-73.8370828112,40.7141894328,315 Burns Street
93,-73.7490959192,40.7723388734,211 38th Road
94,-73.8129013026,40.750149056,2-8 Smart Street
95,-73.8337304449,40.7178925458,113-3 76th Road
96,-73.9061887397,40.7086159908,578 Grandview Avenue
97,-73.8423034768,40.7151464259,98 Ascan Avenue
98,-73.7407722754,40.7534494845,63-75 Douglaston Parkway
99,-73.913326578,40.563392963,718 Liberty Lane
100,-73.8413547538,40.7122652262,144 75th Road
101,-73.7505201122,40.7756023722,206 Hollywood Avenue
102,-73.8392203774,40.7122475872,24 Wendover Road
103,-73.8906210037,40.702485619,2601 Central Avenue
104,-73.8433489967,40.7185695665,69 Burns Street
105,-73.7387993653,40.7536164039,63-45 Douglaston Parkway
106,-73.8280886367,40.7903327596,31 9th Avenue
107,-73.8131105992,40.5900654561,355 Dormans Court
108,-73.7539515276,40.7785087208,604 Shore Road
109,-73.8473985699,40.7164439474,105 71st Avenue
110,-73.7480308368,40.7712307524,27 Cherry Street
111,-73.8391938464,40.716337725,206 Burns Street
112,-73.8401242567,40.7169496305,168 Burns Street
113,-73.7453946861,40.7750698499,359 Ridge Road
114,-73.7392512378,40.7535772658,63-51 Douglaston Parkway
115,-73.8284779476,40.7910289666,29 North Drive
116,-73.8381260561,40.7144346056,112 Beechknoll Road
117,-73.7523126399,40.7798225334,24 Knollwood Avenue
118,-73.8435550289,40.7132453045,184 Ascan Avenue
119,-73.7401617683,40.5997517273,538 Meehan Avenue
120,-73.788013492,40.7869966641,13-34 Lori Drive
121,-73.9959318917,40.7316225789,60 Washington Mews
122,-73.9250404338,40.6379792552,19 Preston Court
123,-73.9623884413,40.6592153381,150 Ocean Avenue
124,-73.9072445059,40.6589121079,210 Thatford Avenue
125,-73.9875742002,40.5826795629,143 Bay 53rd Street
126,-73.9874912323,40.5827238463,141 Bay 53rd Street
127,-73.8636650549,40.680032929,97-34 Drew Street
128,-73.8563661397,40.8074616032,1027 G Street
129,-73.8482256737,40.8143348005,327 Howe Avenue
130,-73.8570020071,40.8086083298,1625 Underhill Avenue
131,-73.8576848311,40.8104939384,1500 Underhill Avenue
132,-74.0062638886,40.5743609458,4034 Beach 40th Street
133,-73.9691032034,40.5833571236,3080 Shore Parkway Sr South
134,-73.8640645872,40.6817095801,95-20 Drew Street
135,-73.8655191606,40.6818946029,7312 95th Avenue
136,-73.879755539,40.6816574226,3123 Arlington Avenue
137,-73.9067494973,40.658785977,189 Thatford Avenue
138,-73.9628722392,40.6346228097,29 Newkirk Plaza
139,-73.9611565939,40.5804106829,6 Brighton 7th Lane
140,-73.9588756638,40.5816666095,41 Fay Court
141,-73.9650180924,40.5801711627,44 Brighton 3rd Court
142,-73.9632133578,40.580681471,42 Brighton 5th Court
143,-73.8576557103,40.8103595425,1502 Underhill Avenue
144,-73.816348443,40.8403327115,3391-2 Country Club Road
145,-73.8876767845,40.7029206179,2680 Central Avenue
146,-73.8477272123,40.8138651396,62 Howe Avenue
147,-73.8478149533,40.8142428203,57 Howe Avenue
148,-73.8575911326,40.8075003694,905 Bronx River Avenue
149,-73.8439829586,40.8359538251,133 Kinnear Place
150,-73.8481769348,40.814137148,323 Howe Avenue
151,-73.8207279963,40.6926995981,4842 97th Avenue
152,-73.7894441332,40.7523725307,190-17 Hollis Court Boulevard
153,-73.7471637376,40.7460854887,68-1 Cloverdale Lane
154,-73.8874218622,40.703242105,2693 Central Avenue
155,-73.8478112017,40.716625211,35 Fleet Street
156,-73.8003162666,40.7106684918,86-14 164th Street
157,-73.7479413392,40.7767261708,324 Manor Road
158,-73.8295043531,40.7062326229,82-4 Brevoort Street
159,-73.8420143154,40.7128322078,159 Greenway South
