"shapeid","x","y","house_num","special_co","streetname"
"3748","-73.7822433713","40.7351415261","188-045","A","71 CRESCENT"
"3749","-73.9661139623","40.5792101162","30","A","BRIGHTON 2 PLACE"
"3750","-73.7439408335","40.7323165654","221-091","A","MANOR ROAD"
"3751","-73.8158369496","40.8454553737","100","A","OUTLOOK AVENUE"
"3752","-73.8158197228","40.8455201555","102","A","OUTLOOK AVENUE"
"3753","-73.8157508044","40.84556139","104","A","OUTLOOK AVENUE"
"3754","-73.8156487103","40.8456306242","106","A","OUTLOOK AVENUE"
"3755","-73.8158809026","40.8459002662","206","A","OUTLOOK AVENUE"
"3756","-73.8161489668","40.8457817769","200","A","OUTLOOK AVENUE"
"3757","-73.8160653278","40.8457962625","202","A","OUTLOOK AVENUE"
"3758","-73.8159945325","40.8458418034","204","A","OUTLOOK AVENUE"
"3759","-73.8155454392","40.8456893766","110","A","OUTLOOK AVENUE"
"3760","-73.8154919548","40.8457628438","112","A","OUTLOOK AVENUE"
"3761","-73.8153973068","40.8458128829","114","A","OUTLOOK AVENUE"
"3762","-73.8153448373","40.8458500628","116","A","OUTLOOK AVENUE"
"3763","-73.8152113955","40.8459239409","120","A","OUTLOOK AVENUE"
"3764","-73.8149548735","40.8460440082","126","A","OUTLOOK AVENUE"
"3765","-73.8156998076","40.8460384697","212","A","OUTLOOK AVENUE"
"3766","-73.8156219483","40.8460843884","214","A","OUTLOOK AVENUE"
"3767","-73.81554856","40.8461246853","216","A","OUTLOOK AVENUE"
"3768","-73.8154172887","40.8462043469","220","A","OUTLOOK AVENUE"
"3769","-73.8151661851","40.8463338697","226","A","OUTLOOK AVENUE"
"3770","-73.9123167602","40.5642570555","614","A","BAYSIDE"
"3771","-73.8909785049","40.5669646532","99","A","HILLSIDE AVENUE ROCKAWAYS"
"3772","-73.8129826406","40.5884765637","4","A","BEACH 88 STREET"
"3773","-73.8128612101","40.5885153276","6","A","BEACH 88 STREET"
"3774","-73.9122166072","40.5642396778","615","A","BAYSIDE"
"3775","-73.8153103072","40.8462352914","222","A","OUTLOOK AVENUE"
"3776","-73.8129235158","40.5886604799","12","A","BEACH 88 STREET"
"3777","-73.8130777226","40.5886495881","10","A","BEACH 88 STREET"
"3778","-73.815781597","40.8459613653","210","A","OUTLOOK AVENUE"
"3779","-73.7252846241","40.6545159562","148-033","A","HOOK CREEK BOULEVARD"
"3780","-73.8129997283","40.5886505892","5","A","BEACH 88 STREET"
"3781","-73.815111312","40.8459375188","122","A","OUTLOOK AVENUE"
"3782","-73.7252334275","40.6543887394","148-037","A","HOOK CREEK BOULEVARD"
"3783","-73.8128328714","40.588704824","13","A","BEACH 88 STREET"
"3784","-73.8128264591","40.5886397787","9","A","BEACH 88 STREET"
"3785","-73.8127298989","40.5886913438","14","A","BEACH 88 STREET"
"3786","-73.7253177219","40.6546246715","148-031","A","HOOK CREEK BOULEVARD"
"3787","-73.8781737033","40.7058953382","1-032","A","73 STREET"
"3788","-73.8127203356","40.5885685005","15","A","BEACH 88 STREET"
